ts,profile,provider,gpu_model,bid_price_uact_per_block,chosen
2026-08-30T14:55:18.434847+00:00,cpu-micro,akash15tl6v6gd0nte0syyxnv57zmmspgju4c3xfmdhk,,2.954114,True
2026-08-30T14:55:18.434847+00:00,cpu-micro,akash16yr3wxt97ae045a06kr3ycde9srcgpg8syjxxm,,2.954114,False
2026-08-30T14:55:18.434847+00:00,cpu-micro,akash1s3hq36mpas4nmkqasn7fgwhs9968cgl3u5esnw,,2.959929,False
2026-08-30T14:55:18.434847+00:00,cpu-micro,akash19zzh7whjt4vfwxd5wtj3tjtyatnpntfhldshd8,,4.826603,False
2026-08-30T14:55:18.434847+00:00,cpu-micro,akash1ggfvyhr9sar4uxjs4hth3p4kzrwk7lysnenj3g,,4.826603,False
2026-08-30T14:55:18.434847+00:00,cpu-micro,akash1cg7nnkwy8yzulr6x5egn7n06pgthz5wu5auvvv,,5.466273,False
2026-08-30T14:55:18.434847+00:00,cpu-micro,akash1aaul837r7en7hpk9wv2svg8u78fdq0t2j2e82z,,18.0,False
2026-09-02T00:20:39.707788+00:00,cpu-micro,akash15tl6v6gd0nte0syyxnv57zmmspgju4c3xfmdhk,,2.954114,False
2026-09-02T00:20:39.707788+00:00,cpu-micro,akash16yr3wxt97ae045a06kr3ycde9srcgpg8syjxxm,,2.954114,True
2026-09-02T00:20:39.707788+00:00,cpu-micro,akash1s3hq36mpas4nmkqasn7fgwhs9968cgl3u5esnw,,3.384786,False
2026-09-02T00:20:39.707788+00:00,cpu-micro,akash1ggfvyhr9sar4uxjs4hth3p4kzrwk7lysnenj3g,,4.826603,False
2026-09-02T00:20:39.707788+00:00,cpu-micro,akash1cg7nnkwy8yzulr6x5egn7n06pgthz5wu5auvvv,,5.466273,False
2026-09-02T00:20:39.707788+00:00,cpu-micro,akash1z9nr23cgweu45g2jktfx95v7g2xp8qlsa3ys2x,,7.0,False
2026-09-02T00:20:39.707788+00:00,cpu-micro,akash1aaul837r7en7hpk9wv2svg8u78fdq0t2j2e82z,,24.0,False
